10.054	-6.0142
10.179	-5.8402
10.306	-5.6693
10.434	-5.5017
10.564	-5.3372
10.696	-5.1758
10.829	-5.0176
10.964	-4.8624
11.1	-4.7103
11.238	-4.5611
11.378	-4.4149
11.52	-4.2716
11.663	-4.1313
11.809	-3.9937
11.956	-3.8591
12.104	-3.7273
12.255	-3.5982
12.408	-3.4718
12.562	-3.3482
12.718	-3.2273
12.877	-3.1089
13.037	-2.9932
13.199	-2.8801
13.364	-2.7695
13.53	-2.6615
13.698	-2.5559
13.869	-2.4528
14.042	-2.3520
14.216	-2.2538
14.393	-2.1578
14.573	-2.0641
14.754	-1.9727
14.938	-1.8836
15.124	-1.7967
15.312	-1.7121
15.503	-1.6295
15.696	-1.5491
15.891	-1.4708
16.089	-1.3946
16.289	-1.3204
16.492	-1.2482
16.697	-1.1779
16.905	-1.1096
17.115	-1.0432
17.328	-0.9787
17.544	-0.9160
17.763	-0.8551
17.984	-0.7959
18.208	-0.7385
18.434	-0.6829
18.664	-0.6289
18.896	-0.5765
19.131	-0.5258
19.369	-0.4767
19.611	-0.4290
19.855	-0.3829
20.102	-0.3383
20.352	-0.2952
20.605	-0.2534
20.862	-0.2130
21.122	-0.1740
21.385	-0.1363
21.651	-0.0999
21.92	-0.0648
22.193	-0.0309
22.47	0.0018
22.749	0.0334
23.032	0.0638
23.319	0.0931
23.609	0.1214
23.903	0.1486
24.201	0.1749
24.502	0.2002
24.807	0.2245
25.116	0.2479
25.429	0.2705
25.745	0.2922
26.066	0.3132
26.39	0.3333
26.719	0.3527
27.051	0.3714
27.388	0.3894
27.729	0.4068
28.074	0.4236
28.424	0.4398
28.778	0.4554
29.136	0.4705
29.499	0.4851
29.866	0.4993
30.238	0.5131
30.614	0.5265
30.995	0.5395
31.381	0.5522
31.772	0.5646
32.167	0.5767
32.568	0.5887
32.973	0.6004
33.383	0.6120
33.799	0.6234
34.22	0.6348
34.646	0.6461
35.077	0.6573
35.514	0.6689
35.956	0.6803
36.403	0.6915
36.857	0.7025
37.315	0.7135
37.78	0.7245
38.25	0.7355
38.726	0.7463
39.209	0.7569
39.697	0.7672
40.191	0.7771
40.691	0.7865
41.198	0.7955
41.711	0.8040
42.23	0.8121
42.756	0.8199
43.288	0.8273
43.827	0.8343
44.372	0.8410
44.925	0.8473
45.484	0.8532
46.05	0.8588
46.623	0.8640
47.204	0.8688
47.791	0.8732
48.386	0.8773
48.989	0.8810
49.599	0.8843
50.216	0.8872
50.841	0.8896
51.474	0.8916
52.115	0.8932
52.764	0.8943
53.42	0.8949
54.085	0.8950
54.759	0.8946
55.44	0.8936
56.131	0.8923
56.829	0.8906
57.537	0.8886
58.253	0.8863
58.978	0.8837
59.712	0.8809
60.456	0.8777
61.208	0.8742
61.97	0.8704
62.742	0.8662
63.523	0.8616
64.314	0.8566
65.114	0.8514
65.925	0.8461
66.745	0.8406
67.576	0.8350
68.418	0.8293
69.269	0.8235
70.132	0.8175
71.005	0.8115
71.889	0.8053
72.784	0.7991
73.69	0.7927
74.607	0.7862
75.536	0.7796
76.476	0.7729
77.428	0.7661
78.392	0.7592
79.368	0.7522
80.356	0.7451
81.356	0.7381
82.369	0.7312
83.394	0.7244
84.433	0.7178
85.484	0.7114
86.548	0.7052
87.625	0.6991
88.716	0.6931
89.82	0.6874
90.939	0.6818
92.071	0.6764
93.217	0.6711
94.377	0.6661
95.552	0.6614
96.742	0.6568
97.946	0.6526
99.165	0.6486
100.4	0.6449
101.65	0.6416
102.915	0.6386
104.196	0.6361
105.493	0.6339
106.806	0.6321
108.136	0.6307
109.482	0.6294
110.845	0.6284
112.225	0.6276
113.622	0.6272
115.037	0.6270
116.469	0.6269
117.919	0.6270
119.386	0.6272
120.873	0.6276
122.377	0.6282
123.901	0.6288
125.443	0.6296
127.005	0.6305
128.586	0.6314
130.187	0.6323
131.807	0.6334
133.448	0.6347
135.109	0.6361
136.791	0.6375
138.494	0.6388
140.218	0.6400
141.964	0.6411
143.731	0.6422
145.52	0.6432
147.332	0.6440
149.166	0.6447
151.023	0.6452
152.903	0.6454
154.806	0.6453
156.734	0.6448
158.685	0.6439
160.66	0.6426
162.66	0.6409
164.685	0.6386
166.735	0.6357
168.811	0.6323
170.912	0.6282
173.04	0.6235
175.194	0.6183
177.375	0.6126
179.583	0.6066
181.819	0.6004
184.082	0.5940
186.374	0.5871
188.694	0.5799
191.043	0.5724
193.421	0.5648
195.829	0.5571
198.267	0.5494
200.735	0.5416
203.234	0.5336
205.764	0.5255
208.325	0.5173
210.919	0.5092
213.544	0.5012
216.203	0.4934
218.894	0.4859
221.619	0.4784
224.378	0.4711
227.171	0.4639
229.999	0.4569
232.862	0.4499
235.761	0.4433
238.696	0.4369
241.668	0.4306
244.676	0.4243
247.722	0.4180
250.806	0.4116
253.928	0.4051
257.089	0.3985
260.29	0.3916
263.53	0.3844
266.81	0.3771
270.132	0.3698
273.495	0.3624
276.899	0.3552
280.346	0.3481
283.836	0.3413
287.37	0.3347
290.947	0.3283
294.569	0.3221
298.236	0.3159
301.949	0.3097
305.708	0.3036
309.513	0.2975
313.366	0.2912
317.267	0.2847
321.217	0.2777
325.216	0.2701
329.264	0.2622
333.363	0.2543
337.513	0.2466
341.715	0.2396
345.969	0.2334
350.276	0.2277
354.636	0.2225
359.051	0.2174
363.521	0.2122
368.046	0.2068
372.628	0.2012
377.266	0.1954
381.963	0.1895
386.718	0.1836
391.532	0.1776
396.406	0.1715
401.341	0.1653
406.337	0.1593
411.395	0.1534
416.517	0.1476
421.702	0.1422
